,nyt_id,title,Amazon_url,author,publisher,description,published_date,bestseller_date,rank,rank_last_week,weeks_on_list,NYT_Price,Amazon_Price,Amazon_reviews,Amazon_rating,Amazon_Discount%
995,5b4aa4ead3089013507dc2d2,THE KINGMAKER’S DAUGHTER,http://www.amazon.com/The-Kingmakers-Daughter-Cousins-War-ebook/dp/B006BAEQB2?tag=NYTBS-20,Philippa Gregory,Touchstone/Simon & Schuster,"Chicanery in the court of Edward IV, narrated by Anne Neville.",2012-09-02,2012-08-18,4,0,1,26.99,,892.0,4.4,
996,5b4aa4ead3089013507dc2e0,"WHERE'D YOU GO, BERNADETTE",http://www.amazon.com/Whered-You-Go-Bernadette-Novel-ebook/dp/B006L8942U?tag=NYTBS-20,Maria Semple,"Little, Brown","A teenage daughter compiles emails, official documents and secret correspondence in an effort to find her eccentric mother.",2012-09-02,2012-08-18,18,0,0,0.0,,,4.3,
997,5b4aa4ead3089013507dc2e5,WARDS OF FAERIE,http://www.amazon.com/Wards-Faerie-Dark-Legacy-Shannara-ebook/dp/B007QPHKDC?tag=NYTBS-20,Terry Brooks,Ballantine,"In the first book of a new fantasy series, the Dark Legacy of Shannara, Druids, Elves and humans unite to try to capture the Elfstones and rescue the troubled Four Lands.",2012-09-09,2012-08-25,3,0,1,28.0,,487.0,4.5,
998,5b4aa4ead3089013507dc2ee,TRICKSTER'S POINT,http://www.amazon.com/Tricksters-Point-OConnor-Mystery-Series/dp/1451645678?tag=NYTBS-20,William Kent Krueger,Atria,"The former sheriff Cork O’Connor is being framed for the murder of Jubal Little, who was about to be elected the first Native American governor of Minnesota and with whom he had a long and complicated relationship.",2012-09-09,2012-08-25,12,0,1,24.99,28.0,312.0,4.6,112.04
999,5b4aa4ead3089013507dc2f3,ONE LAST THING BEFORE I GO,http://www.amazon.com/One-Last-Thing-Before-Go/dp/0525952365?tag=NYTBS-20,Jonathan Tropper,Dutton,,2012-09-09,2012-08-25,17,0,0,0.0,,,4.1,
1000,5b4aa4ead3089013507dc2f8,THE BEAUTIFUL MYSTERY,http://www.amazon.com/The-Beautiful-Mystery-Inspector-Gamache-ebook/dp/B0071VURHW?tag=NYTBS-20,Louise Penny,Minotaur,Chief Inspector Armand Gamache of the Sûreté du Québec investigates a murder at a remote abbey.,2012-09-16,2012-09-01,2,0,1,25.99,,1879.0,,
1001,5b4aa4ead3089013507dc2f9,LAST TO DIE,http://www.amazon.com/Last-bonus-short-story-John-ebook/dp/B007MDK4RC?tag=NYTBS-20,Tess Gerritsen,Ballantine,The detective Jane Rizzoli and the medical examiner Maura Isles protect a boy whose family and foster family have all been murdered.,2012-09-16,2012-09-01,3,0,1,27.0,,854.0,,
1002,5b4aa4ead3089013507dc30b,THE TIME KEEPER,http://www.amazon.com/The-Time-Keeper-Mitch-Albom/dp/1401322786?tag=NYTBS-20,Mitch Albom,Hyperion,"A fable about the inventor of the world’s first clock, who returns to our world after centuries of banishment; from the author of “Tuesdays With Morrie.”",2012-09-23,2012-09-08,1,0,1,24.99,7.99,2753.0,4.4,31.97
1003,5b4aa4ead3089013507dc30c,ZOO,http://www.amazon.com/Zoo-James-Patterson-ebook/dp/B0076DFB2G?tag=NYTBS-20,James Patterson and Michael Ledwidge,"Little, Brown",A young biologist warns world leaders about the reasons for escalating animal attacks on cities.,2012-09-23,2012-09-08,2,0,1,27.99,8.99,4202.0,3.8,32.12
1004,5b4aa4ead3089013507dc30e,THE TOMBS,http://www.amazon.com/The-Tombs-A-Fargo-Adventure-ebook/dp/B007T99OO8?tag=NYTBS-20,Clive Cussler and Thomas Perry,Putnam,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, search for the tomb of Attila the Hun.",2012-09-23,2012-09-08,4,0,1,27.95,,899.0,4.2,
1005,5b4aa4ead3089013507dc312,NW,http://www.amazon.com/NW-A-Novel-Zadie-Smith/dp/1594203970?tag=NYTBS-20,Zadie Smith,Penguin Press,The lives of four characters cross in northwest London; from the author of “White Teeth.”,2012-09-23,2012-09-08,8,0,1,26.95,13.99,242.0,3.0,51.91
1006,5b4aa4ead3089013507dc313,GARMENT OF SHADOWS,http://www.amazon.com/Garment-Shadows-suspense-featuring-Sherlock-ebook/dp/B007JC2ELA?tag=NYTBS-20,Laurie R King,Bantam,"Mary Russell and her husband, Sherlock Holmes, are caught up in colonial wars in Morocco in the 12th book in this series.",2012-09-23,2012-09-08,9,0,1,26.0,,358.0,4.3,
1007,5b4aa4ead3089013507dc317,LORD OF MOUNTAINS,http://www.amazon.com/Lord-Mountains-Novel-Change-Series/dp/0451464761?tag=NYTBS-20,S M Stirling,Roc,"Further adventures in a postapocalyptic America,",2012-09-23,2012-09-08,13,0,1,27.95,3.77,264.0,3.8,13.49
1008,5b4aa4ead3089013507dc319,GONE,http://www.amazon.com/Gone-A-Hannah-Smith-Novel/dp/0399158499?tag=NYTBS-20,Randy Wayne White,Putnam,"Hannah Smith, a friend of White’s character Doc Ford, searches Florida for a missing girl and the con man who seduced her.",2012-09-23,2012-09-08,15,0,1,25.95,3.99,312.0,3.7,15.38
