,title,author,publisher,description,Amazon_url,times_listed,first_date_listed,last_date_listed,weeks_on_list,worst_rank,best_rank,Amazon_reviews,Amazon_rating,NYT_price,Amazon_price,Amazon_price_as%_NYT_price
0,10TH ANNIVERSARY,James Patterson and Maxine Paetro,"Little, Brown",Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.,http://www.amazon.com/10th-Anniversary-Womens-Murder-Club/dp/1455511463?tag=NYTBS-20,10,2011-05-22,2011-07-24,8,9,16,1365.0,4.6,27.99,9.99,35.69
1,11/22/63,Stephen King,Scribner,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,http://www.amazon.com/11-22-63-A-Novel/dp/1451627297?tag=NYTBS-20,23,2011-11-27,2012-05-13,9,6,1,26427.0,4.5,35.0,10.99,31.4
2,11TH HOUR,James Patterson and Maxine Paetro,"Little, Brown","When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.",http://www.amazon.com/11th-Hour-Womens-Murder-Club/dp/0446571830?tag=NYTBS-20,10,2012-05-27,2012-07-29,8,6,1,1858.0,4.6,27.99,9.99,35.69
3,1225 CHRISTMAS TREE LANE,Debbie Macomber,Mira,Puppies that need good homes and an ex-husband loom large in the last installment of the Cedar Cove series.,http://www.amazon.com/1225-Christmas-Tree-Lane-Cedar/dp/0778312690?tag=NYTBS-20,7,2011-10-16,2011-11-27,4,8,10,741.0,,16.95,5.98,35.28
4,12TH OF NEVER,James Patterson and Maxine Paetro,"Little, Brown","One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel. ",http://www.amazon.com/12th-Never-Womens-Murder-Club/dp/1455515795?tag=NYTBS-20,7,2013-05-19,2013-06-30,6,8,1,3789.0,4.5,0.0,9.99,inf
5,1356,Bernard Cornwell,Harper/HarperCollins,"In the fourth book of the Grail Quest series, the English and French face off at the Battle of Poitiers.",http://www.amazon.com/1356-A-Novel-Bernard-Cornwell/dp/0061969672?tag=NYTBS-20,2,2013-01-27,2013-02-03,1,20,11,,,28.99,24.17,83.37
6,14TH DEADLY SIN,James Patterson and Maxine Paetro,"Little, Brown",Detective Lindsay Boxer and her friends must risk their lives to save the city and one another when a rash of murders grips San Francisco.,http://www.amazon.com/14th-Deadly-Womens-Murder-Club/dp/031640702X?tag=NYTBS-20,8,2015-05-24,2015-07-12,7,8,1,4140.0,4.3,0.0,9.99,inf
7,15 SECONDS,Andrew Gross,Morrow,,http://www.amazon.com/15-Seconds-Andrew-Gross/dp/006165597X?tag=NYTBS-20,1,2012-07-29,2012-07-29,0,18,18,390.0,4.2,0.0,10.0,inf
8,15TH AFFAIR,James Patterson and Maxine Paetro,"Little, Brown","When a brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, she turns for help to the Women's Murder Club.",http://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,8,2016-05-22,2016-07-10,7,9,1,2913.0,4.5,0.0,9.99,inf
9,1Q84,Haruki Murakami,Knopf,"In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project.",http://www.amazon.com/1Q84-Haruki-Murakami-ebook/dp/B004LROUW2?tag=NYTBS-20,10,2011-11-13,2012-01-15,9,6,10,1892.0,4.0,30.5,12.99,42.59
10,2030,Albert Brooks,St. Martin's,"In 2030, the young resent the elderly for draining the weakening economy, and a devastating earthquake in Los Angeles tests the administration of the country’s first Jewish president.",http://www.amazon.com/2030-Real-Story-Happens-America-ebook/dp/B004OA62WC?tag=NYTBS-20,4,2011-05-29,2011-06-19,3,19,14,493.0,3.7,25.99,9.99,38.44
11,206 BONES,Kathy Reichs,Scribner,Temperance Brennan is accused of mishandling an autopsy.,http://www.amazon.com/206-Bones-Novel-Temperance-Brennan-ebook/dp/B001NLL7K2?tag=NYTBS-20,4,2009-09-13,2009-10-04,4,8,12,329.0,4.4,26.99,,
12,2312,Kim Stanley Robinson,Orbit,,http://www.amazon.com/2312-Kim-Stanley-Robinson/dp/0316098124?tag=NYTBS-20,1,2012-06-10,2012-06-10,0,20,20,564.0,3.4,0.0,25.0,inf
13,44 CHARLES STREET,Danielle Steel,Delacorte,The owner of a Greenwich Village town house takes in boarders and bonds with her tenants.,http://www.amazon.com/44-Charles-Street-A-Novel/dp/0440245176?tag=NYTBS-20,5,2011-04-24,2011-05-22,5,5,11,433.0,4.2,28.0,7.99,28.54
14,61 HOURS,Lee Child,Delacorte,Jack Reacher helps the police in a small South Dakota town protect a witness in a drug trial.,http://www.amazon.com/61-Hours-Jack-Reacher-Novel/dp/0440243696?tag=NYTBS-20,7,2010-06-06,2010-07-25,6,7,1,2403.0,4.3,28.0,9.99,35.68
15,A CHANGE IN ALTITUDE,Anita Shreve,"Little, Brown",A young woman’s life is transformed by a mountain-climbing accident in Kenya.,http://www.amazon.com/A-Change-Altitude-Novel/dp/0316020710?tag=NYTBS-20,2,2009-10-11,2009-10-18,1,17,11,238.0,3.4,26.99,5.99,22.19
16,A CROWN IMPERILED,Raymond E Feist,Harper Voyager,,http://www.amazon.com/A-Crown-Imperiled-Chaoswar-Saga/dp/006146841X?tag=NYTBS-20,1,2012-04-01,2012-04-01,0,20,20,824.0,4.4,0.0,4.99,inf
17,A DARK MATTER,Peter Straub,Doubleday,A writer investigates what happened to his wife and others who fell under the spell of a charismatic campus guru in the 1960s.,http://www.amazon.com/A-Dark-Matter-Peter-Straub/dp/1400096723?tag=NYTBS-20,1,2010-02-28,2010-02-28,0,17,17,194.0,2.6,0.0,7.29,inf
18,A DARKER PLACE,Jack Higgins,Putnam,A Russian defector becomes a counterspy.,http://www.amazon.com/A-Darker-Place-Jack-Higgins/dp/0399155503?tag=NYTBS-20,3,2009-02-15,2009-03-01,3,14,10,91.0,4.1,26.95,9.99,37.07
19,A DEVIL IS WAITING,Jack Higgins,Putnam,Sean Dillon helps to foil a plot to assassinate the president in London.,http://www.amazon.com/A-Devil-Waiting-Jack-Higgins/dp/0425250571?tag=NYTBS-20,1,2012-01-22,2012-01-22,1,15,15,178.0,4.1,26.95,8.99,33.36
20,A DOG’S JOURNEY,W Bruce Cameron,Tom Doherty/Forge,"In a sequel to “A Dog’s Purpose,” Buddy the dog embraces a new destiny.",http://www.amazon.com/A-Dogs-Journey-Novel/dp/0765330539?tag=NYTBS-20,2,2012-05-27,2012-06-03,1,18,14,,,24.99,,
21,A DOUBTER'S ALMANAC,Ethan Canin,Random House,,http://www.amazon.com/A-Doubters-Almanac-Novel/dp/1400068266?tag=NYTBS-20,2,2016-03-06,2016-03-13,0,20,20,226.0,4.0,0.0,10.47,inf
22,A GATHERING OF SHADOWS,V E Schwab,Tor/Tom Doherty,A magicians’ competition is about to be held in one of the linked alternative realities of London in this fantasy.,http://www.amazon.com/A-Gathering-Shadows-Novel/dp/0765376474?tag=NYTBS-20,1,2016-03-13,2016-03-13,1,15,15,,,0.0,,
23,A GOD IN RUINS,Kate Atkinson,"Little, Brown",Postwar Britain as seen through the members of a well-to-do family.,http://www.amazon.com/A-God-Ruins-Novel-ebook/dp/B00NERQQXG?tag=NYTBS-20,3,2015-05-24,2015-06-07,2,7,16,940.0,4.2,0.0,11.99,inf
24,A GOOD WOMAN,Danielle Steel,Delacorte,An American society girl who made a new life as a doctor in World War I France returns to New York.,http://www.amazon.com/A-Good-Woman-Novel/dp/0440243300?tag=NYTBS-20,5,2008-11-16,2009-01-11,2,5,10,381.0,4.5,27.0,7.99,29.59
25,A HEARTBEAT AWAY,Michael Palmer,St. Martin’s,A terrorist group unleashes a deadly virus in the Capitol on the night of the State of the Union address.,http://www.amazon.com/A-Heartbeat-Away-Michael-Palmer-ebook/dp/B00457X86M?tag=NYTBS-20,2,2011-03-06,2011-03-13,2,15,10,183.0,3.9,27.99,7.99,28.55
26,A HOLOGRAM FOR THE KING,Dave Eggers,McSweeney's,"In a rising Saudi Arabian city, a struggling American businessman pursues a last-ditch attempt to stave off foreclosure, pay his daughter’s college tuition, and finally do something great.",http://www.amazon.com/A-Hologram-King-Dave-Eggers/dp/193636574X?tag=NYTBS-20,2,2012-07-08,2012-08-12,1,16,16,424.0,3.3,25.0,9.98,39.92
27,A LITTLE LIFE,Hanya Yanagihara,Doubleday,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",http://www.amazon.com/A-Little-Life-Hanya-Yanagihara/dp/0804172706?tag=NYTBS-20,2,2016-01-17,2016-01-24,0,19,19,3436.0,4.2,0.0,12.99,inf
28,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,Tor/Tom Doherty,The 14th and final novel in the Wheel of Time fantasy series.,http://www.amazon.com/A-Memory-Light-Wheel-Time-ebook/dp/B00BMKDTNC?tag=NYTBS-20,13,2013-01-27,2013-05-05,9,7,1,4293.0,4.6,34.99,9.99,28.55
29,A MERCY,Toni Morrison,Knopf,"In 17th-­century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life; from the Nobel Prize-winning author of “Beloved.”",http://www.amazon.com/A-Mercy-Toni-Morrison/dp/0307276767?tag=NYTBS-20,11,2008-11-30,2009-02-08,9,9,10,294.0,3.9,23.95,9.99,41.71
30,A PERFECT LIFE,Danielle Steel,Delacorte,A television anchor's on-air poise belies her unsettled life.,http://www.amazon.com/A-Perfect-Life-Novel-ebook/dp/B00HXYKYDE?tag=NYTBS-20,5,2014-08-10,2014-09-07,4,7,11,1648.0,4.4,0.0,7.99,inf
31,A PLAGUE OF SECRETS,John Lescroart,Dutton,The San Francisco defense attorney Dismas Hardy must protect the secrets of his client.,http://www.amazon.com/A-Plague-Secrets-John-Lescroart/dp/0451228324?tag=NYTBS-20,2,2009-07-19,2009-07-26,1,18,12,142.0,4.3,26.95,9.05,33.58
32,A PRINCESS OF LANDOVER,Terry Brooks,Ballantine,"The king of Landover wants his princesss daughter to learn responsibility, but she runs away to learn sorcery.",http://www.amazon.com/A-Princess-Landover-Terry-Brooks-ebook/dp/B002LA0ACK?tag=NYTBS-20,1,2009-09-06,2009-09-06,1,15,15,143.0,4.2,26.0,,
33,A RELIABLE WIFE,Robert Goolrick,Algonquin,Complications ensue when a wealthy Wisconsin widower in 1907 advertises for a spouse.,http://www.amazon.com/A-Reliable-Wife-Robert-Goolrick/dp/1565125967?tag=NYTBS-20,1,2009-05-10,2009-05-10,0,17,17,1399.0,3.3,0.0,9.58,inf
34,A RISING THUNDER,David Weber,Baen,Honor Harrington defends the Star Empire of Manticore in a new and terrible war.,http://www.amazon.com/A-Rising-Thunder-Honor-Harrington/dp/145163806X?tag=NYTBS-20,2,2012-03-25,2012-04-01,2,3,15,476.0,3.8,26.0,18.27,70.27
35,A SECRET KEPT,Tatiana de Rosnay,St. Martin’s,A family revelation upsets the life of a Parisian architect.,http://www.amazon.com/A-Secret-Kept-Tatiana-Rosnay/dp/0312553498?tag=NYTBS-20,2,2010-10-03,2010-10-10,1,20,14,388.0,3.6,24.99,10.83,43.34
36,A SHIVER OF LIGHT,Laurell K Hamilton,Berkley,"In the ninth Meredith Gentry paranormal romance, Merry must save herself and her triplets from Taranis, King of Light and Illusion.",http://www.amazon.com/A-Shiver-Light-Merry-Gentry/dp/0425255662?tag=NYTBS-20,1,2014-06-22,2014-06-22,1,5,5,1409.0,3.9,0.0,,
37,A SUDDEN LIGHT,Garth Stein,Simon & Schuster,"A 14-year-old Seattle boy, staying at his ailing grandfather’s mansion on Puget Sound, explores his family’s dark past.",http://www.amazon.com/A-Sudden-Light-Novel/dp/1439187037?tag=NYTBS-20,1,2014-10-19,2014-10-19,1,14,14,541.0,4.1,0.0,13.0,inf
38,A SUMMER AFFAIR,Elin Hilderbrand,Little Brown & Company,A successful married artist is attracted to a billionaire on Nantucket.,http://www.amazon.com/A-Summer-Affair-Novel/dp/B003P2VBNU?tag=NYTBS-20,2,2008-07-20,2008-07-27,0,19,18,241.0,3.7,0.0,7.99,inf
39,A THOUSAND MORNINGS,Mary Oliver,Penguin Press,,http://www.amazon.com/A-Thousand-Mornings-Mary-Oliver/dp/1594204772?tag=NYTBS-20,2,2012-10-28,2012-11-04,0,20,19,253.0,4.6,0.0,,
40,A TIME FOR PATRIOTS,Dale Brown,William Morrow,,http://www.amazon.com/A-Time-Patriots-Dale-Brown/dp/0061989991?tag=NYTBS-20,1,2011-05-29,2011-05-29,0,18,18,168.0,3.7,0.0,17.87,inf
41,A WEEK IN WINTER,Maeve Binchy,Knopf,"Guests at an inn by the sea on Ireland’s west coast; the final book by Binchy, who died in 2012. ",http://www.amazon.com/A-Week-Winter-Maeve-Binchy/dp/0307273571?tag=NYTBS-20,10,2013-03-03,2013-05-05,9,9,1,3451.0,4.4,26.95,8.99,33.36
42,A WINTER DREAM,Richard Paul Evans,Simon & Schuster,"When Joseph Jacobson stands to take over his father’s business, his 12 brothers cast him out.",http://www.amazon.com/A-Winter-Dream-Novel/dp/145162803X?tag=NYTBS-20,3,2012-11-18,2012-12-02,3,6,11,418.0,4.6,19.99,10.99,54.98
43,ABRAHAM LINCOLN: VAMPIRE HUNTER,Seth Grahame-Smith,Grand Central,Lincoln vs. the undead.,http://www.amazon.com/Abraham-Lincoln-Vampire-Seth-Grahame-Smith/dp/0446563072?tag=NYTBS-20,8,2010-03-21,2010-05-09,7,8,13,1627.0,4.3,21.99,6.92,31.47
44,ABUSE OF POWER,Michael Savage,St. Martin’s,A former war correspondent works to expose a terrorist group and a plot at the highest levels of power.,http://www.amazon.com/Abuse-Power-Michael-Savage/dp/0312651619?tag=NYTBS-20,3,2011-10-02,2011-10-16,2,4,12,319.0,4.3,25.99,9.74,37.48
45,ABYSS,Troy Denning,Del Rey/Ballantine/Lucas,"In a ""Star Wars"" book, Luke Skywalker goes to the Mind Walker’s The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.world to try to redeem the Jedi.",http://www.amazon.com/Abyss-Star-Wars-Fate-Legends/dp/0345509188?tag=NYTBS-20,2,2009-09-06,2009-09-13,2,7,14,69.0,4.1,27.0,12.95,47.96
46,ACCUSED,Lisa Scottoline,St. Martin's,Mary DiNunzio is now a partner at the all-women Philadelphia law firm of Rosato & Associates.,http://www.amazon.com/Accused-A-Rosato-Associates-Novel-ebook/dp/B009LRWH3Q?tag=NYTBS-20,2,2013-11-17,2013-11-24,2,7,14,720.0,4.2,0.0,,
47,ACHERON,Sherrilyn Kenyon,St. Martin’s,Book 12 of the Dark-Hunter paranormal series.,http://www.amazon.com/Acheron-Dark-Hunter-Book-Sherrilyn-Kenyon/dp/0312949413?tag=NYTBS-20,5,2008-08-24,2008-09-21,4,6,1,1163.0,4.7,24.95,8.99,36.03
48,ACT OF WAR,Brad Thor,Emily Bestler/Atria,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,http://www.amazon.com/Act-War-Thriller-Brad-Thor/dp/1476717125?tag=NYTBS-20,5,2014-07-27,2014-08-24,5,8,1,3328.0,4.4,0.0,8.99,inf
49,ADULTERY,Paulo Coelho,Knopf," A married journalist, depressed by boredom, risks everything when she embarks on an affair with a former boyfriend; by the Brazilian writer, the author of “The Alchemist.” ",http://www.amazon.com/Adultery-A-novel-Paulo-Coelho/dp/1101874082?tag=NYTBS-20,6,2014-09-07,2014-10-19,4,6,15,806.0,3.4,0.0,9.99,inf
50,THE AFFAIR,Lee Child,Delacorte,It’s 1997 and the military cop Jack Reacher goes undercover in Mississippi to ferret out a possible scandal involving a soldier with powerful friends in Washington.,http://www.amazon.com/Affair-bonus-short-story-Second-ebook/dp/B004P8JPS6?tag=NYTBS-20,8,2011-10-16,2011-12-11,7,8,1,2694.0,4.5,28.0,9.99,35.68
51,AFFLICTION,Laurell K Hamilton,Berkley,The vampire hunter Anita Blake encounters a dangerous new breed of zombies. ,http://www.amazon.com/Affliction-Anita-Blake-Vampire-Hunter/dp/0425255700?tag=NYTBS-20,2,2013-07-21,2013-07-28,2,5,15,1372.0,4.3,0.0,7.99,inf
52,AFTER ALICE,Gregory Maguire,Morrow,,http://www.amazon.com/After-Alice-Novel-Gregory-Maguire/dp/0060548959?tag=NYTBS-20,3,2015-11-15,2016-01-17,0,20,17,,3.4,0.0,12.92,inf
53,AFTER DEAD,Charlaine Harris,Ace,A coda to the Sookie Stackhouse novels that inspired “True Blood.”,http://www.amazon.com/After-Dead-World-Sookie-Stackhouse-ebook/dp/B00BDQ3B4W?tag=NYTBS-20,2,2013-11-17,2013-11-24,1,2,19,1584.0,2.1,0.0,,
54,AFTER I'M GONE,Laura Lippman,Morrow,,http://www.amazon.com/After-Im-Gone-A-Novel/dp/0062083392?tag=NYTBS-20,2,2014-03-02,2014-03-09,0,18,18,,,0.0,,
55,AFTER THE STORM,Linda Castillo,Minotaur,,http://www.amazon.com/After-Storm-Kate-Burkholder-Novel/dp/1250061563?tag=NYTBS-20,1,2015-08-02,2015-08-02,0,20,20,520.0,,0.0,8.49,inf
56,AFTER YOU,Jojo Moyes,Pamela Dorman/Viking,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,28,2015-10-18,2016-07-31,9,9,11,5201.0,4.2,0.0,11.99,inf
57,STAR WARS: AFTERMATH,Chuck Wendig,Del Rey,The Imperial elite haven’t reckoned on the former rebel fighter Norra Wexley.,http://www.amazon.com/Aftermath-Star-Journey-Force-Awakens/dp/034551162X?tag=NYTBS-20,5,2015-09-20,2016-01-10,3,5,16,2783.0,2.9,0.0,17.32,inf
58,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,Putnam,"Maxwell Moore, a former C.I.A. officer, pursues the terrorists who killed his colleagues in a bomb attack off the coast of Pakistan.",http://www.amazon.com/Against-All-Enemies-Tom-Clancy/dp/042524606X?tag=NYTBS-20,9,2011-07-03,2011-08-28,7,8,1,620.0,3.4,28.95,9.99,34.51
59,AGAINST ALL THINGS ENDING,Stephen R Donaldson,Putnam,The resurrection of Thomas Covenant has awakened the Worm of the World’s End.,http://www.amazon.com/Against-Things-Ending-Chronicles-Covenant/dp/039915678X?tag=NYTBS-20,1,2010-11-07,2010-11-07,1,15,15,293.0,3.8,29.95,27.37,91.39
60,AGENDA 21,Glenn Beck with Harriet Parke,Threshold Editions/Mercury Radio Arts,A girl questions authority in the U.N.-created totalitarian successor to the United States.,http://www.amazon.com/Agenda-21-Glenn-Beck-ebook/dp/B00902UC0W?tag=NYTBS-20,6,2012-12-09,2013-01-13,5,8,12,2880.0,4.5,26.0,9.49,36.5
61,AGENDA 21: INTO THE SHADOWS,Glenn Beck with Harriet Parke,Threshold Editions,,http://www.amazon.com/Agenda-21-Shadows-Glenn-Beck/dp/1476746826?tag=NYTBS-20,1,2015-01-25,2015-01-25,0,18,18,2880.0,,0.0,13.5,inf
62,AGINCOURT,Bernard Cornwell,Harper,An English archer with a complicated past joins Henry V at the famous battle against the French in 1415.,http://www.amazon.com/Agincourt-Bernard-Cornwell/dp/0061578916?tag=NYTBS-20,5,2009-02-08,2009-03-08,4,7,10,609.0,4.3,27.99,12.99,46.41
63,AGONY OF THE LEAVES,Laura Childs,Berkley,,http://www.amazon.com/Agony-Leaves-Tea-Shop-Mystery/dp/0425245535?tag=NYTBS-20,1,2012-03-25,2012-03-25,0,20,20,143.0,,0.0,9.89,inf
64,AIMLESS LOVE,Billy Collins,Random House,More than 50 new poems as well as selections from previous books from the two-term poet laureate of the Untied States.,http://www.amazon.com/Aimless-Love-New-Selected-Poems/dp/0679644059?tag=NYTBS-20,4,2013-11-10,2013-12-01,3,18,12,256.0,4.8,0.0,16.86,inf
65,ALEPH,Paulo Coelho,Knopf,"A crisis of faith is the impetus for a journey through time and space, on a path that teaches love, forgiveness and courage.",http://www.amazon.com/Aleph-Paulo-Coelho/dp/0307700186?tag=NYTBS-20,2,2011-10-16,2011-10-23,2,7,6,451.0,4.2,24.95,2.99,11.98
66,ALERT,James Patterson and Michael Ledwidge,"Little, Brown",Detective Michael Bennett and the F.B.I.'s Emily Parker must save New York City from a deadly threat.,http://www.amazon.com/Alert-Michael-Bennett-James-Patterson/dp/0316407178?tag=NYTBS-20,6,2015-08-23,2015-09-27,5,9,15,1494.0,,0.0,16.98,inf
67,"ALEX CROSS, RUN",James Patterson,"Little, Brown","While Detective Alex Cross pursues a serial killer (or killers?) in Washington, D.C., he's too busy to notice that someone has been watching him.",http://www.amazon.com/Alex-Cross-Run-James-Patterson-ebook/dp/B0076DCP16?tag=NYTBS-20,9,2013-03-10,2013-05-05,8,8,1,2939.0,4.5,28.99,9.99,34.46
68,ALEX CROSS’S ‘TRIAL’,James Patterson and Richard DiLallo,"Little, Brown","The detective Alex Cross writes a novel about his great-uncle, who fought the Klan.",http://www.amazon.com/Alex-Crosss-Trial-James-Patterson/dp/0446557781?tag=NYTBS-20,7,2009-09-13,2009-10-25,6,9,1,1754.0,4.4,27.99,9.99,35.69
69,ALL DRESSED IN WHITE,Mary Higgins Clark and Alafair Burke,Simon & Schuster,"A TV producer investigates a bride’s disappearance for her show, “Under Suspicion.”",http://www.amazon.com/All-Dressed-White-Under-Suspicion-ebook/dp/B00UDCI30E?tag=NYTBS-20,4,2015-12-06,2015-12-27,2,7,12,1200.0,4.6,0.0,7.99,inf
70,ALL FALL DOWN,Jennifer Weiner,Atria,A woman becomes addicted to pain medication.,http://www.amazon.com/All-Fall-Down-A-Novel-ebook/dp/B00DPM909W?tag=NYTBS-20,5,2014-07-06,2014-08-03,5,8,11,1401.0,4.1,0.0,12.99,inf
71,THE ALL-GIRL FILLING STATION'S LAST REUNION,Fannie Flagg,Random House,An Alabama woman's search for her true identity takes her all the way to Wisconsin and into the lives of four sisters who ran their father’s gas station during World War II.,http://www.amazon.com/All-Girl-Filling-Stations-Last-Reunion-ebook/dp/B00CQZ6EKW?tag=NYTBS-20,6,2013-11-24,2013-12-29,4,6,10,4401.0,4.6,0.0,,
72,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,The lives of a blind French girl and a gadget-obsessed German boy before and during World War II; the winner of the 2015 Pulitzer Prize.  ,http://www.amazon.com/All-Light-We-Cannot-See/dp/1476746583?tag=NYTBS-20,141,2014-05-25,2017-01-29,99,9,1,28454.0,4.6,0.0,12.99,inf
73,ALL THE LITTLE LIARS,Charlaine Harris,Minotaur,,http://www.amazon.com/All-Little-Liars-Teagarden-Mysteries/dp/1250090032?tag=NYTBS-20,1,2016-10-23,2016-10-23,0,19,19,298.0,4.2,0.0,,
74,ALL THE OLD KNIVES,Olen Steinhauer,Minotaur,A C.I.A. case officer meets with a former colleague and lover to try to understand a massacre in Vienna in 2006.,http://www.amazon.com/All-Old-Knives-A-Novel/dp/1250045428?tag=NYTBS-20,1,2015-03-29,2015-03-29,1,15,15,,3.9,0.0,,
75,ALL THE SINGLE LADIES,Dorothea Benton Frank,Morrow/HarperCollins,Three friends in South Carolina’s Lowcountry grapple with the challenges of being unmarried.,http://www.amazon.com/All-Single-Ladies-A-Novel-ebook/dp/B00NEOM5FM?tag=NYTBS-20,4,2015-06-28,2015-07-19,3,6,11,946.0,4.1,0.0,11.99,inf
76,ALL THE STARS IN THE HEAVENS,Adriana Trigiani,Harper,A fictional treatment of the life of the actress Loretta Young focuses on her rumored affair with the married Clark Gable and her subsequent pregnancy.,http://www.amazon.com/All-Stars-Heavens-A-Novel-ebook/dp/B00SG0G27G?tag=NYTBS-20,1,2015-11-01,2015-11-01,1,14,14,,,0.0,,
77,ALL THAT IS,James Salter,Knopf,A veteran makes a career in publishing in postwar New York and struggles to achieve romantic success.,http://www.amazon.com/All-That-Is-James-Salter/dp/1400043131?tag=NYTBS-20,1,2013-04-21,2013-04-21,1,14,14,322.0,3.5,26.95,10.16,37.7
78,ALL YOU COULD ASK FOR,Mike Greenberg,Morrow,,http://www.amazon.com/All-You-Could-Ask-For/dp/0062220756?tag=NYTBS-20,1,2013-04-21,2013-04-21,0,17,17,,,0.0,6.13,inf
79,ALLIES,Christie Golden,Del Rey/Ballantine,The Skywalkers and the Sith undertake an unprecedented joint mission; a “Star Wars: Fate of the Jedi” book.,http://www.amazon.com/Allies-Star-Wars-Fate-Jedi/dp/0345509145?tag=NYTBS-20,2,2010-06-13,2010-06-20,2,8,14,81.0,3.9,27.0,12.01,44.48
80,I ALMOST FORGOT ABOUT YOU,Terry McMillan,Crown,"A middle-aged optometrist, twice divorced and tired of her work, decides to reinvent her life.",http://www.amazon.com/Almost-Forgot-About-You-Novel/dp/1101902574?tag=NYTBS-20,5,2016-06-26,2016-07-24,1,20,12,1083.0,4.3,0.0,9.99,inf
81,ALTAR OF EDEN,James Rollins,Morrow/HarperCollins,A Louisiana veterinarian discovers a wrecked fishing trawler filled with genetically altered animals.,http://www.amazon.com/Altar-Eden-James-Rollins/dp/0061231428?tag=NYTBS-20,2,2010-01-17,2010-01-24,2,9,13,384.0,4.3,27.99,14.77,52.77
82,I AM HALF-SICK OF SHADOWS,Alan Bradley,Delacorte,,http://www.amazon.com/Am-Half-Sick-Shadows-Flavia-Novel/dp/0385344015?tag=NYTBS-20,1,2011-11-20,2011-11-20,0,16,16,389.0,,0.0,10.48,inf
83,AMERICA AMERICA,Ethan Canin,Random House,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,http://www.amazon.com/America-A-Novel-Ethan-Canin/dp/0679456805?tag=NYTBS-20,3,2008-07-13,2008-07-27,2,19,15,97.0,3.9,27.0,11.99,44.41
84,AMERICAN ASSASSIN,Vince Flynn,Atria,"In the wake of the Lockerbie bombing, Mitch Rapp takes on his first antiterrorist assignment.",http://www.amazon.com/American-Assassin-Thriller-Mitch-Rapp-ebook/dp/B003UV8T9A?tag=NYTBS-20,11,2010-10-31,2011-01-09,8,8,1,5574.0,4.6,27.99,8.99,32.12
85,AMERICAN HOUSEWIFE,Helen Ellis,Doubleday,,http://www.amazon.com/American-Housewife-Stories-Helen-Ellis/dp/0385541031?tag=NYTBS-20,1,2016-01-31,2016-01-31,0,19,19,231.0,3.6,0.0,14.0,inf
86,AMERICAN WIFE,Curtis Sittenfeld,Random House,A pretty librarian marries the alcoholic son of a wealthy political family who somehow becomes president.,http://www.amazon.com/American-Wife-Random-Readers-Circle/dp/0812975405?tag=NYTBS-20,6,2008-09-21,2008-10-26,5,9,12,514.0,3.5,26.0,11.99,46.12
87,AMONG THE MAD,Jacqueline Winspear,Holt,Maisie Dobbs is involved in a hunt for a man who promises to wreak destruction on London.,http://www.amazon.com/Among-Mad-Maisie-Dobbs-Book/dp/0312429258?tag=NYTBS-20,1,2009-03-08,2009-03-08,1,9,9,312.0,4.5,25.0,9.99,39.96
88,AMONG THE TEN THOUSAND THINGS,Julia Pierpont,Random House,,http://www.amazon.com/Among-Ten-Thousand-Things-Novel/dp/0812995228?tag=NYTBS-20,1,2015-08-09,2015-08-09,0,20,20,341.0,2.7,0.0,11.29,inf
89,AMONG THE WICKED,Linda Castillo,Minotaur,Chief of Police Kate Burkholder goes undercover as a widow in a reclusive Amish community to investigate a girl's death.,http://www.amazon.com/Among-Wicked-Kate-Burkholder-Novel-ebook/dp/B019N4X1ZE?tag=NYTBS-20,1,2016-07-31,2016-07-31,0,18,18,477.0,4.7,0.0,,
90,AN AMERICAN SPY,Olen Steinhauer,Minotaur,,http://www.amazon.com/An-American-Spy-Olen-Steinhauer/dp/0312622899?tag=NYTBS-20,1,2012-04-01,2012-04-01,0,18,18,,,0.0,,
