,title,author,publisher,description,Amazon_url,times_listed,first_date_listed,last_date_listed,weeks_on_list,worst_rank,best_rank,Amazon_reviews,Amazon_rating,NYT_price,Amazon_price,Amazon_price_as%_NYT_price
699,HOW THE LIGHT GETS IN,Louise Penny,Minotaur,"When his friends’ safety is compromised, Chief Inspector Armand Gamache of the Sûreté du Québec seeks a refuge in the village of Three Pines.",http://www.amazon.com/How-Light-Gets-In-Inspector/dp/0312655479?tag=NYTBS-20,4,2013-09-15,2013-10-06,3,9,1,2514.0,4.7,0.0,9.99,inf
700,HUNTING EVE,Iris Johansen,St. Martin's,"In the second book of a trilogy, the forensic sculptor Eve Duncan struggles to outwit a kidnapper in the Colorado wilderness.",http://www.amazon.com/Hunting-Eve-Duncan-Iris-Johansen/dp/1250034345?tag=NYTBS-20,1,2013-08-04,2013-08-04,1,13,13,,4.5,0.0,7.99,inf
701,HUNTING SHADOWS,Charles Todd,Morrow/HarperCollins," In the aftermath of World War I, a Scotland Yard detective with a heavy burden of guilt, investigates two murders in Cambridgeshire that may be linked.",http://www.amazon.com/Hunting-Shadows-Rutledge-Charles-Todd/dp/0062237187?tag=NYTBS-20,1,2014-02-09,2014-02-09,1,16,16,291.0,4.4,0.0,14.18,inf
702,HUSH HUSH,Laura Lippman,Morrow/HarperCollins,"The Baltimore private eye Tess Monaghan, a new mother, is asked to provide protection for a woman who killed her own child and is back in town.",http://www.amazon.com/Hush-Tess-Monaghan-Novel/dp/0062083422?tag=NYTBS-20,1,2015-03-15,2015-03-15,1,15,15,195.0,3.7,0.0,,
703,CROSS FIRE,James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets.",http://www.amazon.com/I-Alex-Cross-James-Patterson-ebook/dp/B002LZSY46?tag=NYTBS-20,24,2009-12-06,2011-02-13,9,9,1,1753.0,4.4,27.99,7.99,28.55
704,"I, MICHAEL BENNETT",James Patterson and Michael Ledwidge,"Little, Brown",A New York detective takes refuge with his 10 children in an upstate cabin.,http://www.amazon.com/I-Michael-Bennett-James-Patterson/dp/0446571814?tag=NYTBS-20,7,2012-07-29,2012-09-09,6,8,13,5423.0,4.4,27.99,,
705,ICE,Linda Howard,Ballantine,A brutal ice storm traps a young soldier on leave who has just rescued a woman.,http://www.amazon.com/Ice-A-Novel-Linda-Howard/dp/0345517202?tag=NYTBS-20,1,2009-11-29,2009-11-29,1,8,8,1389.0,4.2,22.0,7.7,35.0
706,ICE COLD,Tess Gerritsen,Ballantine,A group of friends are murdered when they take refuge in a remote abandoned village in Wyoming.,http://www.amazon.com/Ice-Cold-Rizzoli-Isles-Novel/dp/0345515498?tag=NYTBS-20,4,2010-07-18,2010-08-08,3,17,10,1200.0,4.5,26.0,4.99,19.19
707,ICED,Karen Marie Moning,Delacorte,The first book in a new urban paranormal trilogy set in the world of the Fever series features Dani O’Malley.,http://www.amazon.com/Iced-Fever-Series-Book-6-ebook/dp/B007GCYBOG?tag=NYTBS-20,1,2012-11-18,2012-11-18,1,9,9,1533.0,4.5,27.0,7.99,29.59
708,I'D KNOW YOU ANYWHERE,Laura Lippman,Morrow/HarperCollins,A man who kidnapped a 15-year-old girl contacts her from death row years later.,http://www.amazon.com/Id-Know-You-Anywhere-Novel/dp/B006OHTW2U?tag=NYTBS-20,3,2010-09-05,2010-09-19,3,16,11,260.0,3.7,25.99,8.61,33.13
709,IDENTICAL,Scott Turow,Grand Central,"Paul Giannis, running for mayor of Kindle County, is accused of having played a role in the murder of his twin brother's girlfriend.",http://www.amazon.com/Identical-Scott-Turow-ebook/dp/B00BAXFZV0?tag=NYTBS-20,6,2013-11-03,2013-12-08,6,6,10,804.0,3.6,0.0,0.0,
710,IF YOU WERE HERE,Jen Lancaster,New American Library,A married couple buy a fixer-upper in the Chicago suburbs.,http://www.amazon.com/If-You-Were-Here-Novel/dp/0451234383?tag=NYTBS-20,2,2011-05-22,2011-05-29,1,20,14,237.0,3.7,24.95,6.99,28.02
711,I’LL WALK ALONE,Mary Higgins Clark,Simon & Schuster,"An interior designer, haunted by the disappearance of her son, finds herself the victim of a deadly game of identity theft.",http://www.amazon.com/Ill-Walk-Alone-A-Novel/dp/1439180970?tag=NYTBS-20,8,2011-04-24,2011-06-12,7,7,13,584.0,4.5,25.99,8.07,31.05
712,IMPACT,Douglas Preston,Forge,Scientists race to defuse a doomsday weapon pointed at Earth from one of the moons of Mars.,http://www.amazon.com/Impact-Douglas-Preston/dp/0765317680?tag=NYTBS-20,5,2010-01-24,2010-02-21,4,7,11,449.0,3.9,25.99,7.99,30.74
713,IMPERFECT BIRDS,Anne Lamott,Riverhead,"A 17-year-old with a drug habit deceives her parents, with profound consequences.",http://www.amazon.com/Imperfect-Birds-Novel-Anne-Lamott/dp/1594487510?tag=NYTBS-20,2,2010-04-25,2010-05-02,1,20,16,177.0,3.4,25.95,12.94,49.87
714,IMPERIAL BEDROOMS,Bret Easton Ellis,Knopf,"Characters from “Less Than Zero” are back in Los Angeles 25 years later, and one of them is murdered.",http://www.amazon.com/Imperial-Bedrooms-Bret-Easton-Ellis/dp/0307266109?tag=NYTBS-20,1,2010-07-04,2010-07-04,1,15,15,176.0,3.0,24.95,10.85,43.49
715,IN THE COMPANY OF OTHERS,Jan Karon,Viking,"In Ireland, the Episcopal priest Tim Kavanagh finds an old journal that could solve a crime.",http://www.amazon.com/In-Company-Others-Father-Novel/dp/0670022128?tag=NYTBS-20,10,2010-11-07,2011-01-09,5,9,11,829.0,4.3,27.95,8.97,32.09
716,"IN A DARK, DARK WOOD",Ruth Ware,Scout Press,"A crime writer attends a party in a cabin in the woods and is pulled back into the past, with frightening results.",http://www.amazon.com/In-Dark-Wood-Ruth-Ware/dp/1501112317?tag=NYTBS-20,2,2015-08-30,2015-09-06,1,16,11,2394.0,3.9,0.0,8.99,inf
717,IN ONE PERSON,John Irving,Simon & Schuster,An aspiring writer struggles with his sexuality.,http://www.amazon.com/In-One-Person-A-Novel-ebook/dp/B005LJEVK0?tag=NYTBS-20,5,2012-05-27,2012-06-24,4,7,10,593.0,3.6,28.0,11.99,42.82
718,IN PARADISE,Peter Matthiessen,Riverhead,A middle-aged literature professor becomes involved in a weeklong Zen retreat taking place at Auschwitz in 1996. ,http://www.amazon.com/In-Paradise-Novel-Peter-Matthiessen/dp/1594633177?tag=NYTBS-20,2,2014-04-27,2014-05-04,1,9,19,193.0,3.9,0.0,10.86,inf
719,IN SUNLIGHT AND IN SHADOW,Mark Helprin,Houghton Mifflin Harcourt,A nostalgic romance set in post-World War II New York.,http://www.amazon.com/In-Sunlight-Shadow-Mark-Helprin/dp/0547819234?tag=NYTBS-20,2,2012-10-21,2012-10-28,1,19,15,353.0,3.8,28.0,15.7,56.07
720,IN TOO DEEP,Jayne Ann Krentz,Putnam,The psychic detective Fallon Jones hires an assistant with secrets.,http://www.amazon.com/In-Too-Deep-Looking-Trilogy/dp/0399157026?tag=NYTBS-20,1,2011-01-16,2011-01-16,1,9,9,193.0,4.4,25.95,13.25,51.06
721,IN THE UNLIKELY EVENT,Judy Blume,Knopf,Secrets are revealed and love stories play out against the backdrop of a series of plane crashes in 1950s New Jersey.,http://www.amazon.com/In-Unlikely-Event-Judy-Blume-ebook/dp/B00R04MDYA?tag=NYTBS-20,9,2015-06-21,2015-08-16,8,9,12,2176.0,3.8,0.0,8.99,inf
722,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL,James Rollins,Random House Publishing Group,,http://www.amazon.com/Indiana-Jones-Kingdom-Crystal-Skull/dp/0345501284?tag=NYTBS-20,1,2008-06-08,2008-06-08,0,20,20,36.0,4.1,0.0,16.0,inf
723,INDIGNATION,Philip Roth,Houghton Mifflin,"A Newark, N.J., college student in the Korean War era breaks with his parents and goes to a school in the Midwest.",http://www.amazon.com/Indignation-Vintage-International-Philip-Roth/dp/0307388913?tag=NYTBS-20,3,2008-10-05,2008-10-19,2,19,10,276.0,4.1,26.0,9.99,38.42
724,INDULGENCE IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas tangles with what she fears is a thrill killer; by Nora Roberts, writing pseudonymously.",http://www.amazon.com/Indulgence-Death-J-D-Robb/dp/0425240460?tag=NYTBS-20,4,2010-11-21,2010-12-12,3,9,16,455.0,4.6,26.95,7.19,26.68
725,INFERNO,Dan Brown,Doubleday,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist. ",http://www.amazon.com/Inferno-Robert-Langdon-Dan-Brown/dp/1400079152?tag=NYTBS-20,33,2013-06-02,2014-01-19,9,9,1,21477.0,4.1,0.0,9.99,inf
726,INHERENT VICE,Thomas Pynchon,Penguin Press,"A pothead private eye in Los Angeles, circa 1970.",http://www.amazon.com/Inherent-Vice-Thomas-Pynchon/dp/1594202249?tag=NYTBS-20,4,2009-08-23,2009-09-13,2,5,11,414.0,3.7,27.95,11.99,42.9
727,INNOCENCE,Dean Koontz,Bantam,A grotesque man living in exile beneath the city encounters a teenage girl hiding from dangerous enemies.,http://www.amazon.com/Innocence-A-Novel-Dean-Koontz/dp/0553808036?tag=NYTBS-20,5,2013-12-29,2014-01-26,4,9,12,3410.0,,0.0,11.24,inf
728,INNOCENT,Scott Turow,Grand Central,"When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, as Turow revisits the characters from “Presumed Innocent.”",http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,9,2010-05-23,2010-07-18,7,6,10,441.0,3.9,27.99,9.74,34.8
729,INSANE CITY,Dave Barry,Putnam,"The run-up to a glamorous wedding involves pranks, criminals, high-speed chases, exotic animals and other mayhem. ",http://www.amazon.com/Insane-City-Dave-Barry-ebook/dp/B008U45TPE?tag=NYTBS-20,3,2013-02-17,2013-03-03,2,17,12,645.0,,26.95,,
730,INSATIABLE APPETITES,Stuart Woods,Putnam,"In this Stone Barrington series thriller, Barrington faces secrets and seduction when a dangerous woman from his past appears as he settles a friend's estate.",http://www.amazon.com/Insatiable-Appetites-Stone-Barrington-Stuart/dp/0399169156?tag=NYTBS-20,5,2015-01-25,2015-02-22,4,4,10,835.0,4.0,0.0,9.99,inf
731,INSIDE THE O'BRIENS,Lisa Genova,Gallery Books,A Boston cop and his family must contend with a diagnosis of Huntington’s disease; by the author of “Still Alice.”,http://www.amazon.com/Inside-OBriens-Novel-Lisa-Genova/dp/147671777X?tag=NYTBS-20,3,2015-04-26,2015-05-10,2,19,12,1156.0,4.4,0.0,11.99,inf
732,INSIDIOUS,Catherine Coulter,Gallery Books,Two cases — one concerning an attempted poisoning in Washington and another about the hunt for a serial killer in Los Angeles — are the focus of Coulter’s 20th F.B.I. thriller.,http://www.amazon.com/Insidious-FBI-Thriller-Book-20-ebook/dp/B01BT5YB8G?tag=NYTBS-20,3,2016-08-28,2016-09-11,3,8,12,1138.0,4.5,0.0,8.99,inf
733,INTERVENTION,Robin Cook,Putnam,"A potentially explosive archaeological discovery reconnects a medical seeker, a biblical scholar and a New York bishop, long-ago college classmates.",http://www.amazon.com/Intervention-Robin-Cook/dp/B0051BNRYO?tag=NYTBS-20,1,2009-08-30,2009-08-30,1,15,15,206.0,2.8,25.95,5.0,19.27
734,INTO THE DREAMING,Karen Marie Moning,Delacorte Press,A new edition of the Highland fantasy novella with bonus material.,http://www.amazon.com/Into-Dreaming-bonus-material-Highlander/dp/0345535227?tag=NYTBS-20,1,2012-05-13,2012-05-13,1,14,14,316.0,,20.0,8.99,44.95
735,INTO THE FIRE,Suzanne Brockmann,Ballantine,A former employee of an elite security company comes out of hiding to confront a murderous neo-Nazi group.,http://www.amazon.com/Into-Fire-Troubleshooters-Book-13/dp/0345501535?tag=NYTBS-20,1,2008-08-10,2008-08-10,1,7,7,127.0,4.3,25.0,7.99,31.96
