,url,reviews,rating,price
228,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20,"2,644 customer reviews",3.8 out of 5 stars,$7.99 
229,http://www.amazon.com/To-Try-Mens-Souls-Washington/dp/0312591063?tag=NYTBS-20,265 customer reviews,4.5 out of 5 stars,$9.99 
230,http://www.amazon.com/The-Professional-Robert-B-Parker/dp/0399155945?tag=NYTBS-20,246 customer reviews,4.1 out of 5 stars,$9.99 
231,http://www.amazon.com/The-Lacuna-A-Novel-P-S/dp/0060852585?tag=NYTBS-20,981 customer reviews,4.2 out of 5 stars,$12.99 
232,http://www.amazon.com/Nine-Dragons-Harry-Bosch-Novel-ebook/dp/B002ZFOM52?tag=NYTBS-20,"1,306 customer reviews",4.4 out of 5 stars,$9.99 
233,http://www.amazon.com/Rainwater-Sandra-Brown/dp/1439192928?tag=NYTBS-20,698 customer reviews,4.5 out of 5 stars,$11.99 
234,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20,986 customer reviews,4.5 out of 5 stars,$8.99 
235,http://www.amazon.com/Heat-Wave-Nikki-Book-ebook/dp/B002PEP4SC?tag=NYTBS-20,"1,849 customer reviews",4.2 out of 5 stars,$6.99 
236,http://www.amazon.com/Last-Night-Twisted-River-Novel/dp/1400063841?tag=NYTBS-20,419 customer reviews,3.6 out of 5 stars,$12.99 
237,http://www.amazon.com/Wolf-Hall-Novel-Hilary-Mantel-ebook/dp/B002UZ5K4Y?tag=NYTBS-20,"2,644 customer reviews",3.8 out of 5 stars,$7.99 
238,http://www.amazon.com/The-Christmas-Sweater-Picture-Book/dp/1416995439?tag=NYTBS-20,116 customer reviews,4.6 out of 5 stars,$10.99 
239,http://www.amazon.com/Girl-Played-Fire-Millennium-Trilogy/dp/0307476154?tag=NYTBS-20,"14,702 customer reviews",4.6 out of 5 stars,$9.99 
240,http://www.amazon.com/Pirate-Latitudes-Novel-Michael-Crichton/dp/0061929379?tag=NYTBS-20,"1,315 customer reviews",4.0 out of 5 stars,$9.99 
241,http://www.amazon.com/The-Christmas-Sweater-Picture-Book/dp/1416995439?tag=NYTBS-20,116 customer reviews,4.6 out of 5 stars,$10.99 
242,http://www.amazon.com/Divine-Misdemeanors-Novel-Meredith-Gentry/dp/0345495969?tag=NYTBS-20,356 customer reviews,4.1 out of 5 stars,$7.99 
243,http://www.amazon.com/Pirate-Latitudes-Novel-Michael-Crichton/dp/0061929379?tag=NYTBS-20,"1,315 customer reviews",4.0 out of 5 stars,$9.99 
244,http://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20,"1,152 customer reviews",4.2 out of 5 stars,$7.99 
245,http://www.amazon.com/Pursuit-Honor-Mitch-Rapp-No/dp/1416595163?tag=NYTBS-20,986 customer reviews,4.5 out of 5 stars,$8.99 
246,http://www.amazon.com/Pirate-Latitudes-Novel-Michael-Crichton/dp/0061929379?tag=NYTBS-20,"1,315 customer reviews",4.0 out of 5 stars,$9.99 
